,dx,max_gz,mean_gz,label
160,88096799927,13.24,0.9296969697,b
161,810713708806,10.19,-2.716231884,b
162,101119964227,9.36,-2.987837838,b
163,224142788246,3.11,-2.86673913,b
164,106270485244,27.69,-2.005263158,b
165,101070725710,23.34,-2.505897436,b
166,141577140445,6.51,-0.6046153846,b
167,221479839857,7.99,-2.719148936,b
168,72911740511,11.44,0.3729032258,b
169,253066926975,9.59,-0.831627907,b
170,105923424850,10.51,-1.898611111,b
171,141716268945,21.11,-0.2673684211,b
172,109142572682,10.47,-2.320810811,b
173,189726336214,8.18,-2.442340426,b
174,102659430366,5.81,-1.148181818,b
175,88002687364,22.47,-3.377179487,b
176,76580285057,16.76,-2.763888889,b
177,188450672450,12.36,-1.005348837,b
178,75700396732,12.41,-1.655151515,b
179,70245745420,8.52,-0.2138709677,b
180,138663937081,12.65,-1.067368421,b
181,164286653787,6.28,-5.510408163,b
182,177103431561,11.1,-1.005,b
183,83825265500,7.17,-1.2171875,b
184,123458731378,19.73,-0.3319444444,b
185,167587938232,8.17,-1.817857143,b
186,47026306414,2.11,-3.336333333,b
187,211913452767,7.99,-2.805555556,b
188,62594370189,9.57,0.9541935484,b
189,104529776593,21.1,-2.90225,b
190,92182668753,10.73,-2.228888889,b
191,108061999126,11.8,-1.86,b
192,27918422107,14.36,-0.604375,b
193,156888371253,10.23,-2.825238095,b
194,233314423210,6.4,-1.849302326,b
195,95726406204,14.78,-2.268888889,b
196,182092248529,14.64,-2.186590909,b
197,173599365463,5.19,-2.503695652,b
198,75782849642,13.19,0.1677419355,b
199,128027156077,7.14,-1.355405405,b
200,199001935728,29.58,-1.710638298,r
201,217089802573,22.31,-2.553404255,r
202,161969040806,15.63,-2.5166,r
203,288891043174,20.75,-2.433035714,r
204,134278124283,42.56,-3.529069767,r
205,80791525985,24.92,-1.492368421,r
206,214750145082,26.16,-2.635,r
207,165224018773,26.61,-3.057391304,r
208,214647492619,26.1,-2.374897959,r
209,116571761153,22.06,-2.213488372,r
210,122252804217,20.92,-1.262325581,r
211,732377532498,22.85,-2.518484848,r
212,197272723568,16.67,-2.240576923,r
213,260988649815,40.69,0.1134,r
214,73562211447,37.86,-1.175263158,r
215,178988320600,21.05,-2.438666667,r
216,571398612439,22.65,-2.989552239,r
217,106607042049,16.58,-2.92125,r
218,107105191682,30,-5.143095238,r
219,213697866980,25.87,-2.469130435,r
220,226800988518,45.09,0.7506818182,r
221,632203403212,23.3,-2.41016129,r
222,128621887693,20.9,-3.079772727,r
223,23097148433,25.78,-0.7925,r
224,109193149859,21.32,-1.880789474,r
225,155443686475,22.37,-2.376304348,r
226,393066568464,16.94,-2.543548387,r
227,49074386138,20.8,-1.6871875,r
228,270016657320,22.75,-2.2275,r
229,188797043979,21.36,-1.937843137,r
230,187924968512,23.62,-2.381363636,r
231,117930501745,34.93,-2.048333333,r
232,176478764190,20.29,-1.8875,r
233,205058953208,48.65,0.2984782609,r
234,166370249584,34.74,-1.219111111,r
235,415510418932,18.66,-1.628275862,r
236,424517260910,20.59,-2.508965517,r
237,247272693237,26.15,-2.572352941,r
238,114265871595,19.29,-2.580888889,r
239,275279054921,18.7,-1.615185185,r
240,148496331219,29.48,-2.785,r
241,147682519293,16.58,-2.983478261,r
242,422955353727,19.81,-2.496885246,r
243,334726944851,20.83,-1.641818182,r
244,132973852616,26.1,-2.395813953,r
245,239816120894,20,-2.701632653,r
246,120584411253,40.15,2.69047619,r
